RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06
61639,10025,New York,NY,New York,New York,1,175000,,,,140000,,121000,,,170000,,118650,141850,134900,,135769.2308,148470.5882,,,,,145000,153235.2941,,,199000,169000,179150,210450,200750,176750,186900,196850,189150,,163692.3077,,252307.6923,247647.0588,234750,246050,,276153.8462,276852.9412,,225000,262941.1765,305000,,,,240000,,,388000,,376076.9231,,,345000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000,,446153.8462,473529.4118,493325,,577384.6154,514705.8824,549250,490750,498750,458250,,768500,851250,853250,733300,,496658.5,,794238.8,730000,669100,624500,634500,644800,685883,723753.1,810179.9,788000,719250,713750,712250,673500,,556923.0769,611470.5882,,488963.5,569048,547083.5,678325,789425,792317,768235.4,705165.55,743303.05,772900,745850,788150,675600,733275,702125,830350,906340.5,964888.35,1083673.65,,,611307.6923,738833.5294,622605.95,,,,625000,,617307.6923,673823.5294,632500,616000,599200,,863846.1538,828235.2941,809750,694375,678875.5,689762.85,714096.4,815855.75,785357.65,717331.85,817584.5,779534.15,833330.35,,,900000,800000,848000,827250,,,,585000,627352.9412,,604230.7692,711825,689675,731500,821475,803820,730655,737000,763500,752500,664815.1,627884.5,682819.15,724315.35,689750,766750,801250,821500,865250,915750,798000,722250,781100,805636.5,772435.05,758871.45,756500,864750,802250,920150,853350,858250,835150,890180,885470,792850,722050,660600,735500,807500,956250,1037000,975000,1016000,962750,1010000,1079500,940500,852750,824746.5,804172.55,883423.95
84654,60657,Chicago,IL,Chicago,Cook,2,137911.7647,137900,133925,141700,144600,155225,139075,149100,140750,137750,138500,155975,153375,171050,168100,167000,159000,158825,156925,165925,159575,155750,161400,168100,169350,166950,181700,193375,194275,183850,177750,192600.5,199725.35,186425.15,216500,214400,203850,192025,185975,197025,213225,219750,202400,206250,221900,230300,255900,241000,247950,250050,257550,246450,234750,229200,234200,243350,276000,269250,252250,237300,244750,247200,250850,280450,283950,297000,282975,260400,243475,260700,272075,262125,277700,279550,276250,277000,276875,273125,274150,282475,280625,299750,298250,289500,316000,308150,333150,307950,311125,309875,320375,315975,314900,302750,311950,320050,310000,326500,325150,335975,341375,337850,343650,346625,338500,329675,335625,340075,337100,326600,327275,326475,332550,330800,312325,307025,342100,339150,336350,319750,332400,361150,358300,361600,347600,334450,343650,379600,365000,323750,311500,333825,359375,356600,354200,366000,361250,346000,352050,349800,382625,364775,344350,346050,379700,404450,381450,376250,387300,372975,380225,357750,342150,351800,383900,375125,352325,346200,363950,368350,359900,349750,335000,334500,336550,321100,353075,368725,361500,369050,368000,372300,378700,372350,370600,356300,395750,405400,362850,354150,334825,357150,368650,383475,402500,388575,364700,338925,370800,367000,344750,312300,347950,355800,361700,345850,355650,384300,382000,386375,342000,348525,342300,336750,324000,356300,365300,375925,382750,368725,373500,364750,387000,367300,383775,394400,400550,402375,409000,411075,385425,396500,394325,403375,390050,365950,340300,358350,378650,376750,371250,371750,379250,382500,372550,363975,374725,340150,348350,397000,403750,395250,405875
61637,10023,New York,NY,New York,New York,3,403823.5294,355025,,264100,253900,,258461.5385,239823.5294,287900,281750,,282615.3846,292058.8235,330475,,277346.1538,275000,314875,291375,,353846.1538,426176.4706,473000,,,329450,379400,409850,432000,420500,398750,336375,404375,424575,466050,485650,516925,460050,468000,571400,536850,512275,484825,456900,446100,468900,478750,508850,562000,565000,576650,521500,467275,460825,522650,,,,775000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645000,715588.2353,718000,760700,760000,,780769.2308,795882.3529,717500,710800,820972.5,792865.75,784156.75,807675,829725,785650,872150,843550,870000,982375,1007762.5,993862.5,949500,870900,789475,929375,1048500,1120500,1138875,1213125,1145500,1159500,1052500,,939269.2308,1106020.588,1156657.5,1190000,1207750,1181500,1185250,1241750,1232814.5,1218470.15,1351812.85,1462833.95,1604702.75,1594440.4,1689680.15,,2727866.95,2664906.8,,2424442.75,,,1317614.95,,1469505.9,1586120.55,,1335188.4,1356130.55,,1141581.154,1371323.529,1470966.5,1440801.55,1429066.6,1331921.4,1299000,1207250,1193750,1229750,1252750,1196250,1184750,1290250,1117500,1323250,1194125,1102412.5,1152975,1050217.75,1155117.55,1068645.2,1211000,1115000,945500,900000,1066000,1100500,1070000,1084625,1262875,1080750,1120000,,,710250,689000,788500,825000,821250,801500,748900,782350,826750,1073400,907100,764250,699750,696500,725500,809625,880875,950500,896750,797000,876150,899680,849720,805750,834500,875750,883400,878600,908440.5,887158.35,914657.15,842875,840250,860750,885500,873950,892765,849985,1002700,954500,925500,874375,869337.5,864287.5,859000,861800,850900,853700,887608,901530.6,918227.4
84616,60614,Chicago,IL,Chicago,Cook,4,168250,191675,189250,183275,174750,157575,165325,184225,,211900,188350,186600,195075,200275,200425,203625,197275,200725,211525,214500,198675,191925,179250,186025,193700,195725,211975,224600,236700,247950,228725,237725,242500,238500.5,247900.85,245050.5,232600.15,243700,252200,261050,269500,259200,264800,271500,294700,301100,276950,266250,261125,269625,282950,294450,297100,302350,298025,327825,311950,312100,300200,293100,285550,280700,299575,316125,323750,326650,313000,302075,318050,325625,320600,311450,313750,330200,323600,334750,323650,337100,327375,317625,342900,374850,347325,312525,295775,336625,359150,349425,345175,343250,342375,340375,342000,336400,342100,339500,344750,359500,368725,374375,383850,397675,379500,383225,375650,380550,367950,369850,371150,379300,384200,378200,381800,377975,362325,354900,376300,402000,421125,400625,385750,385250,389200,374050,379625,385825,370300,364750,368625,391375,389750,398250,368125,345075,360000,408825,409600,411125,421250,444500,438750,429500,501975,491525,452000,422750,435750,442550,447650,426300,411750,441500,435550,422950,393950,388050,392250,388150,390350,411750,414550,420075,389875,377250,380250,386250,421450,411300,403550,412400,422850,428250,408000,400125,420125,411150,397125,384175,389550,408450,395800,460000,465000,467750,438500,393550,411950,423250,401250,408250,426650,442850,431125,400475,406900,420000,437750,447000,417000,411900,402100,388750,382250,375000,431500,469500,447750,473025,476600,456750,476000,423000,398000,379750,421450,421300,441350,427075,446250,455200,433200,443500,450450,445600,472550,467000,438250,422000,449200,436300,464250,451625,456325,456150,467650,469750,455150,464175,486425,498750,487000,460375,445125
61616,10002,New York,NY,New York,New York,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901151,,,,,,,,,,,490000,555157.0588,,,,,,794235,725353.2353,,916032.9231,,,,795000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543000,588625,603275,526600,473250,467500,447250,431000,450875,463875,479750,486250,470000,498500,529750,522750,532500,552000,586290,532598,531692,529250,578800,566650,564500,596250,594500,596500,596250,615000,585000,641150,658000,,649615.3846,581529.4118,584450,590250,697500,645250,588150,638100,,648076.9231,633823.5294,,786153.8462,841764.7059,822000,,
84640,60640,Chicago,IL,Chicago,Cook,6,95316.1765,94293.75,91950,85125,75425,85800,80200,74000,77650,72950,63650,74600,87325,,126250,126025,119975,103975,102250,110825,123125,123500,,111850,122450,121150,121000,123225,129575,142400,137825,125325.5,,103575.5,114425.15,129000,135625,148750,149125,139500,136575,138075,132350,139000,134225,128225,135850,150075,168625,152600,155825,162675,181900,172750,162050,143700,143275,154525,159300,182700,171200,171275,169475,186100,186900,196375,194125,200750,195950,182550,200500,201750,213000,231950,232050,240375,228875,221600,201850,190000,206450,218400,197900,213750,242975,250675,261825,240512.5,223922.5,208934.5,211925.5,232825,242000,231075,232250,234550,227100,234600,254825,258425,242175,241975,249900,244950,248800,257600,238575,248650,245800,250625,254550,257450,249450,252900,244650,242000,249775,232225,265000,275750,283000,287450,300300,295075,274925,272875,278625,291400,305100,282250,285900,288925,279625,286050,276900,285100,273000,292750,275750,253300,244700,272400,277600,263425,256950,270450,291175,282000,291000,275750,268725,266525,273250,276300,262150,248000,254800,257125,260875,260300,254450,247150,244550,233550,246300,238000,210200,258400,265775,253775,243050,241350,240900,241500,224800,208075,237925,240950,186250,179650,168350,239300,237350,243400,220200,226500,215375,222975,186525,194800,177000,192750,192650,206225,214675,210000,219750,221975,224200,235225,216225,185825,173350,182700,191650,198850,221800,237500,240350,249300,244625,230700,211775,217200,231400,225475,232750,241775,245250,267150,279475,266500,244375,233125,206325,216000,219050,248900,267500,258225,235125,245150,240600,239000,240125,228875,218500,224300,224200,244750,250750,257750,244350
61807,10467,New York,NY,New York,Bronx,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,212647.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97564,94109,San Francisco,CA,San Francisco,San Francisco,8,259250,252000,263950,261950,263950,258650,269750,279275,254475,257500,279950,264000,255050,237000,267000,280250,289050,281450,282250,318500,329500,329500,292500,297250,314750,343100,375150,373650,360350,368650,375100,379350,369400,353000,378000,392000,417250,446000,454400,420350,424250,412150,389900,401000,421450,389500,456700,533550,500750,450750,413750,394100,443150,457000,486500,492800,514450,479750,483000,541650,535550,522800,500250,561250,482250,454250,452500,481125,501625,492000,506000,527500,519500,524250,512250,527750,486750,511450,533800,559500,561150,468500,490350,502925,479375,497000,507450,528400,535350,577514.5,560010.15,578379.35,545175,589700,593525,555975,551750,615600,668625,688625,612650,610750,606750,597750,626250,649750,673250,651250,666500,639250,631300,636700,677000,713500,686250,615500,604900,642600,633000,687875,717875,750500,777250,719750,732500,708000,753700,771950,730350,,593461.5385,675823.5294,758060,759590,685000,715000,742000,725200,846800,792750,738900,,684615.3846,715294.1176,734500,809950,835800,793500,699250,,680000,629705.8824,593650,,685384.6154,678235.2941,,707461.5385,686176.4706,638400,622650,602850,626950,608650,607300,615950,469500,437250,705000,741250,707750,689725,714025,611750,621250,657525,707000,802400,688100,527500,525500,663250,722700,737100,644150,583000,641770.5,586500,577550,414923.0769,,520384.6154,726941.1765,738950,670650,700250,679000,740500,738050,722100,666275,,,910000,903529.4118,830150,815150,747400,725600,,1049615.385,836176.4706,880775,887225,850250,895750,998900,982350,906750,894400,1031850,998250,921500,998250,942050,949950,1017250,936250,941000,951250,952250,933500,1013250,1123750,1080500,969350,1070900,,,899000,1017235.294,979850,
62037,11226,New York,NY,New York,Kings,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000,,,,370000,,385384.6154,353235.2941,346374,,,,,357000,,335884.6154,395161.7647,,366990,,,,,,,,,,,,435000,,,,,,525000,,463461.5385,
90668,75070,McKinney,TX,Dallas-Fort Worth,Collin,10,,,,,,,,160099,140037.8235,146036.6,154584.2,170012,179955.15,162282.8,156182.35,158864.2,159643.7,155429.2,137685.05,132310.9,144248.1,150157.35,,129196.3846,127168,145834.85,158176.95,158745.6,169010.65,169930.7,168915.25,161392,155174.3,157138.85,172217.35,190863.1,176909.05,165547.05,162076.8,173416.75,173918.65,177347.6,174594.3,166374.85,175064.15,169042.35,164278.3,155278.05,153973.25,165321.2,166995.05,175467.05,177890.3,185729.95,167992.65,172162.4,174503.75,166689.55,164280.55,165844.7,166160.8,167784.6,166665.9,167423.3,166891.5,169826.2,169216,168569.2,170442.3,169734.6,171329.65,170847.05,172276.15,174741.3,186158.55,181533.35,177609.1,172323.2,175335.2,181651.35,180800,181250,174780.5,170423.85,169356.65,172341.5,178088.05,175663.5,173606.55,173733.05,177435.95,172416.4,173148.5,178490,183767,184712.4,183197.05,182903.45,185534.3,184696.85,182387.5,175718.95,171857.5,171484.05,170971.7,164743.75,163545,169944,173918.3,180073.9,180028.8,177622.5,181737.5,180493,182205.1,184418.15,185943.9,184246.85,184043.4,179502.1,185152.4,194802.95,199513.85,198541.15,198837.9,197757,197324.05,199028.35,199663.6,200725.85,198521.65,199679.3,198950.3,203598.5,207931.5,206356.95,206888,212033.8,208176.3,208327.75,211635.7,204783.35,194069.85,196634.6,198884.85,197750.7,199796.8,201879.05,201893.5,200053.8,197200.1,193482.1,190052.25,185574.1,180749.3,175464.25,181959.05,184186.7,189614.35,191222,192800.8,188648.65,183917.55,179044.9,185457.7,184837.15,183646.7,187831.95,188428.15,187983,190383.45,202600.7,205915.7,202592.9,196027.75,193535.25,194671,197630.7,191914.55,188082.5,188398.4,192198.9,193900.15,196926.65,196950.05,197668.5,191300.35,183489.6,190045,188392,190533.85,186713.65,191146,199590.7,203430.45,200507.8,204768.1,202557.35,200039,203908.5,215271.45,215379.65,225695.4,230413,222896,224527.7,230127.4,234418.4,232773.05,234930.4,236400,239061,244123.7,238447.35,249718.45,245794.05,246137.95,253239.65,255439.6,258115.7,260286.1,253889.7,257963.75,263540,265368,268590.5,270138.9,275490.85,278011.75,288438.2,285592.1,285916.75,285027.5,284806.6,292011.35,297965.2,292327.2,294560.15,299107.95,299158,291105.1,296068.05,298668.85
